Westville,34.3773741,-80.5959099,SC
Newhall,34.377498,-118.6120323,CA
Bonnerdale,34.377872,-93.3990744,AR
New Albany West,34.3778814,-89.0431201,MS
Columbus City,34.3781461,-86.1260889,AL
Jasper,34.3781481,-84.4632603,GA
Guntown,34.3784367,-88.6883869,MS
Lula,34.3784403,-90.4481542,MS
Dane Canyon,34.3786425,-111.2243011,AZ
Clermont,34.3787107,-83.8121238,GA
Mescal Creek,34.3788889,-117.6900572,CA
Lyerly,34.3789783,-85.3938463,GA
Kirkland North,34.3792341,-100.0614955,TX
Ware Shoals East,34.3792852,-82.2259513,SC
Murrayville,34.3795428,-83.88796,GA
Salado,34.3797616,-109.3973191,AZ
Fyffe,34.3800901,-85.9266394,AL
Clermont,34.3800987,-83.8726817,GA
Ware Shoals East,34.3801206,-82.1534468,SC
Clermont,34.3803779,-83.7826784,GA
Joanna,34.3804105,-81.7773305,SC
Riley,34.380617,-107.2297584,NM
Redfield,34.3806516,-92.1640352,AR
Winnsboro,34.3807012,-81.0864776,SC
Hartsville North,34.3807099,-80.0609003,SC
Murrayville,34.3812094,-83.8901823,GA
Oxford North,34.3812171,-89.5278597,MS
Ware Shoals East,34.3812319,-82.1465019,SC
Vandervoort,34.3814972,-94.3657673,AR
Nelson,34.3820371,-84.3710348,GA
Bethune,34.382098,-80.2511817,SC
Kelly,34.382113,-78.3233353,NC
Tres Lagunas,34.3822763,-108.0947828,NM
Dawsonville,34.3823179,-84.0649113,GA
Hartsville North,34.3826544,-80.0434,SC
Abeytas,34.382843,-106.8136365,NM
Sonoraville,34.3828689,-84.82855,GA
Turner,34.3828789,-91.0670602,AR
Baldy Mesa,34.383134,-117.381355,CA
Farwell,34.383409,-103.0380016,TX
Clermont,34.3834318,-83.8743484,GA
Clermont,34.383432,-83.8662926,GA
Lula,34.3834347,-83.6623962,GA
Hartwell NE,34.3837158,-82.8659736,GA
Hartsville North,34.3837655,-80.0331221,SC
Rocky Point,34.3839,-77.8975,NC
Center Grove,34.3839828,-86.6386054,AL
Lake Robinson,34.3840429,-80.131735,SC
Puertecito,34.384226,-107.4744853,NM
Pine,34.3844739,-111.4551407,AZ
Chavies,34.3845343,-85.8463593,AL
Rocky Point,34.3846,-77.8979,NC
Dillon East,34.3846062,-79.2636544,SC
Newhall,34.3847198,-118.530919,CA
Flagg,34.3847974,-102.4696451,TX
Bonnerdale,34.384816,-93.3818521,AR
Hartsville North,34.3848764,-80.0928455,SC
Hart,34.3850726,-102.1157408,TX
Rocky Point,34.3851,-77.8971,NC
Sherrill,34.385374,-91.950694,AR
Gethsemane,34.3853743,-91.7681875,AR
Lake Robinson,34.3854316,-80.1845138,SC
Hartsville North,34.3854322,-80.0456223,SC
Oklahoma Lane,34.3856302,-102.8868869,TX
Murrayville,34.3856536,-83.9082386,GA
Clays Corner,34.3859071,-102.7166039,TX
Lehigh,34.3859257,-96.1283252,OK
Clermont,34.3859327,-83.8143463,GA
