Haugan,47.3832632,-115.3995938,MT
Eveleth,47.3832641,-92.6043528,MN
Ebro,47.3832914,-95.5205783,MN
Les �les-de-la-Madeleine,47.383333,-61.866667,PQ
Belleterre,47.3833334,-78.7,PQ
Saint-Gabriel-Lalemant,47.3833334,-69.9333333,PQ
Alida,47.3835673,-95.2347377,MN
Renton,47.384261,-122.2463367,WA
Vashon,47.3842649,-122.4806828,WA
Delaware,47.3843556,-88.018719,MI
Fairfield,47.3851752,-117.1715787,WA
Belfair,47.3856501,-122.8276415,WA
Belt,47.386077,-110.925513,MT
Saint-Louis,47.3861111,-70.4097222,PQ
Renton,47.3862114,-122.2003979,WA
Des Moines,47.3864884,-122.3231788,WA
Des Moines,47.3864887,-122.286789,WA
Bandera,47.386777,-121.5337073,WA
Toimi,47.387145,-91.8287821,MN
Les �troits,47.3875,-68.8952778,PQ
North Bend,47.3876023,-121.8612222,WA
Bordulac,47.3877746,-98.9639984,ND
Vashon,47.3881546,-122.379847,WA
Maple Valley,47.3881567,-122.0115045,WA
Des Moines,47.3882829,-122.2932808,WA
Tyler,47.3884949,-117.8307749,WA
Lake Medora,47.3887984,-87.9551091,MI
Phoenix,47.3888063,-88.2776054,MI
Olalla,47.3889853,-122.6254103,WA
Vashon,47.3889874,-122.4606824,WA
Finland,47.3890802,-91.1387733,MN
Vashon,47.3892653,-122.4270704,WA
Maple Valley,47.3892677,-122.045672,WA
Maple Valley,47.3892678,-122.0231714,WA
Soap Lake,47.389307,-119.490591,WA
Paradise,47.3893776,-114.8020757,MT
Hobart,47.3895463,-121.9256686,WA
Des Moines,47.3896303,-122.2508064,WA
Southeast Great Falls,47.3896828,-111.1427437,MT
Cooperstown West,47.3897152,-98.1320403,ND
Ebro,47.3902358,-95.5091888,MN
Palisades,47.3909651,-119.917554,WA
Olalla,47.3911122,-122.5956927,WA
North Bend,47.3923248,-121.818721,WA
Snoqualmie Pass,47.3923341,-121.454261,WA
Snoqualmie Pass,47.3923346,-121.4000942,WA
Grassy Butte,47.3925145,-103.2479655,ND
Maple Valley,47.392716,-122.046409,WA
Snoqualmie Pass,47.3928903,-121.392872,WA
North Bend,47.3934357,-121.8462219,WA
Vashon,47.395099,-122.3867918,WA
Finland,47.3954687,-91.1348841,MN
Vashon,47.3962099,-122.410959,WA
Keewatin,47.3969444,-93.075,MN
Lance Hills,47.3971105,-117.6502076,WA
Lookout Pass,47.3971511,-115.6351547,MT
Wenatchee,47.3976268,-120.3031261,WA
Maple Valley,47.397879,-122.0295607,WA
Parkers Cove,47.3984917,-54.8605778,NF
Fort Connah,47.3990986,-114.096777,MT
Avondale,47.3991028,-53.2264333,NF
Cobalt,47.3991667,-79.6805556,ON
Southeast Great Falls,47.3994042,-111.1677448,MT
